0      0      1.60659
161751      0.0125664      1.61699
161865      0.0251327      1.61316
160443      0.0376991      1.59591
157675      0.0502655      1.56655
154600      0.0628319      1.52688
149964      0.0753982      1.47912
145244      0.0879646      1.42573
139352      0.100531      1.36935
133548      0.113097      1.31265
128569      0.125664      1.25817
123395      0.13823      1.20828
118978      0.150796      1.16499
114431      0.163363      1.12988
112031      0.175929      1.10408
109266      0.188496      1.08818
108137      0.201062      1.08222
108581      0.213628      1.08573
109245      0.226195      1.09776
110447      0.238761      1.11693
112636      0.251327      1.14153
115518      0.263894      1.16963
118101      0.27646      1.19916
121356      0.289027      1.22805
124370      0.301593      1.25433
126741      0.314159      1.27622
127938      0.326726      1.29225
129340      0.339292      1.30131
130255      0.351858      1.30269
130555      0.364425      1.29614
128825      0.376991      1.28183
127117      0.389557      1.26036
125112      0.402124      1.2327
122488      0.41469      1.20013
118334      0.427257      1.16418
114608      0.439823      1.12651
110780      0.452389      1.08881
106559      0.464956      1.05277
103774      0.477522      1.0199
100438      0.490088      0.991536
98284      0.502655      0.968704
95858      0.515221      0.952118
94850      0.527788      0.942133
94018      0.540354      0.93874
93502      0.55292      0.941578
94332      0.565487      0.949963
95310      0.578053      0.962943
97223      0.590619      0.979354
98688      0.603186      0.997892
100629      0.615752      1.01719
102759      0.628319      1.03592
104923      0.640885      1.05281
105904      0.653451      1.06678
107805      0.666018      1.07696
108086      0.678584      1.08273
108426      0.69115      1.08378
108589      0.703717      1.08007
107857      0.716283      1.07186
106883      0.728849      1.05969
104924      0.741416      1.04431
103176      0.753982      1.02666
101557      0.766549      1.00778
99617      0.779115      0.988801
97769      0.791681      0.97081
96045      0.804248      0.954844
94560      0.816814      0.941809
93283      0.82938      0.932434
93068      0.841947      0.92724
92679      0.854513      0.926513
92622      0.86708      0.930297
93219      0.879646      0.938394
94627      0.892212      0.950391
95890      0.904779      0.965679
97434      0.917345      0.983499
99312      0.929911      1.00299
100966      0.942478      1.02323
103394      0.955044      1.0433
104706      0.967611      1.06233
107307      0.980177      1.07954
108171      0.992743      1.09427
109896      1.00531      1.10603
110412      1.01788      1.11452
112044      1.03044      1.11962
112110      1.04301      1.12137
112542      1.05558      1.12001
112364      1.06814      1.11593
111689      1.08071      1.10963
110240      1.09327      1.1017
109235      1.10584      1.09277
108721      1.11841      1.08349
108276      1.13097      1.07448
106955      1.14354      1.06629
106547      1.15611      1.0594
105531      1.16867      1.05416
105175      1.18124      1.05082
105170      1.19381      1.04949
104646      1.20637      1.05015
105014      1.21894      1.05268
105229      1.2315      1.05686
105919      1.24407      1.06237
106188      1.25664      1.06886
106718      1.2692      1.07594
107554      1.28177      1.08322
108255      1.29434      1.09033
109620      1.3069      1.09692
109685      1.31947      1.10272
110990      1.33204      1.10751
111442      1.3446      1.11114
110923      1.35717      1.11354
111371      1.36973      1.11467
111392      1.3823      1.1146
111604      1.39487      1.11338
110858      1.40743      1.11113
110655      1.42      1.10797
110709      1.43257      1.10401
110239      1.44513      1.09934
109851      1.4577      1.09405
109284      1.47027      1.08817
108741      1.48283      1.08171
107130      1.4954      1.07464
107046      1.50796      1.06692
106073      1.52053      1.05848
105599      1.5331      1.04925
104648      1.54566      1.03916
103249      1.55823      1.02818
102005      1.5708      1.0163
101037      1.58336      1.00358
100052      1.59593      0.990107
98439      1.6085      0.976058
96591      1.62106      0.961662
95321      1.63363      0.947208
93684      1.64619      0.933038
92469      1.65876      0.91953
91027      1.67133      0.907086
90145      1.68389      0.896111
89152      1.69646      0.88699
87982      1.70903      0.880071
87844      1.72159      0.875642
87699      1.73416      0.873916
88032      1.74673      0.875011
87494      1.75929      0.878946
88488      1.77186      0.885631
88934      1.78442      0.894871
90381      1.79699      0.906369
91105      1.80956      0.919737
92676      1.82212      0.934515
93919      1.83469      0.95019
96331      1.84726      0.966213
97091      1.85982      0.982034
99031      1.87239      0.997117
100409      1.88496      1.01097
101834      1.89752      1.02316
102472      1.91009      1.03333
103260      1.92265      1.04123
104409      1.93522      1.04671
104426      1.94779      1.04971
104726      1.96035      1.05028
105373      1.97292      1.04858
104500      1.98549      1.04484
104307      1.99805      1.03936
103420      2.01062      1.03248
103312      2.02319      1.02459
101956      2.03575      1.01608
101196      2.04832      1.00733
100243      2.06088      0.998688
99283      2.07345      0.990477
98625      2.08602      0.982956
97699      2.09858      0.976326
97127      2.11115      0.970727
96669      2.12372      0.966238
96886      2.13628      0.96288
96308      2.14885      0.960624
95869      2.16142      0.959403
95773      2.17398      0.95912
96200      2.18655      0.959664
96332      2.19911      0.960915
96209      2.21168      0.962761
96743      2.22425      0.965103
96904      2.23681      0.96786
96499      2.24938      0.970972
97165      2.26195      0.974403
98061      2.27451      0.978134
97756      2.28708      0.982163
98462      2.29965      0.986493
99223      2.31221      0.991128
99924      2.32478      0.996063
99651      2.33734      1.00128
100452      2.34991      1.00673
101069      2.36248      1.01234
101302      2.37504      1.01802
101700      2.38761      1.02364
102687      2.40018      1.02904
103235      2.41274      1.03405
103921      2.42531      1.03849
103430      2.43788      1.04217
104235      2.45044      1.04493
104751      2.46301      1.04663
105292      2.47558      1.04715
104971      2.48814      1.04645
104168      2.50071      1.04451
104135      2.51327      1.04139
103581      2.52584      1.03722
103914      2.53841      1.03218
103041      2.55097      1.0265
102627      2.56354      1.02047
101296      2.57611      1.0144
100890      2.58867      1.00861
100577      2.60124      1.00344
99791      2.61381      0.999196
99506      2.62637      0.996152
99425      2.63894      0.994526
99421      2.6515      0.994469
99217      2.66407      0.996056
100257      2.67664      0.999276
100407      2.6892      1.00403
